City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
287,Sistranda,NO,2020-12-02 01:58:39,63.73,8.83,37.4,74,0,23.04
288,Tortoli,IT,2020-12-02 01:58:39,39.93,9.66,55.4,50,90,6.93
289,Ivankiv,UA,2020-12-02 01:58:39,50.94,29.89,32.0,99,100,4.47
290,Ca Mau,VN,2020-12-02 01:58:39,9.18,105.15,78.8,82,65,13.4
291,Luanda,AO,2020-12-02 01:55:04,-8.84,13.23,76.44,86,98,7.2
292,Lima,PE,2020-12-02 01:56:59,-12.04,-77.03,66.2,82,75,13.87
293,Karratha,AU,2020-12-02 01:58:40,-20.74,116.85,99.03,23,3,16.93
294,Tsimlyansk,RU,2020-12-02 01:58:40,47.65,42.1,28.9,95,99,16.08
295,Montecristi,EC,2020-12-02 01:58:40,-1.05,-80.67,75.2,78,40,11.41
296,Praia,CV,2020-12-02 01:58:40,14.92,-23.51,73.4,73,0,10.29
297,Itaqui,BR,2020-12-02 01:58:40,-29.13,-56.55,72.46,79,0,9.8
298,Tiksi,RU,2020-12-02 01:58:40,71.69,128.87,-2.58,88,100,25.72
299,Portsmouth,GB,2020-12-02 01:57:00,50.8,-1.09,41.0,87,57,7.49
300,Kholmy,UA,2020-12-02 01:58:40,51.87,32.6,28.17,98,100,9.17
301,Casas Grandes,MX,2020-12-02 01:56:29,30.37,-107.95,48.99,11,0,7.9
302,Batagay-Alyta,RU,2020-12-02 01:58:40,67.8,130.41,-8.12,80,100,6.4
303,Methoni,GR,2020-12-02 01:58:40,36.82,21.7,55.0,81,19,2.24
